prec,tmin,tmax,rhum,srad,wspd
,1.76,9.842,88.001,98.708,16.125
,-6.052,8.042,69.53,312.871,10.769
,-5.458,25.099,67.031,339.885,9.073
,6.746,35.508,74.73,334.483,6.136
,14.684,36.115,94.362,165.305,5.143
,25.929,33.517,88.96,128.187,13.553
,0.464,26.758,76.555,355.709,12.567
,-6.772,4.73,72.238,217.358,10.878
,-0.472,15.512,69.834,363.901,5.558
,1.076,36.34,66.739,348.563,6.544
,12.074,41.432,79.104,312.215,6.218
,22.856,45.104,78.778,295.189,5.663
,29.25,60.602,66.739,370.484,7.9
,29.723,45.806,76.853,349.443,6.181
,29.485,55.634,77.985,344.133,6.454
,29.131,55.508,89.852,354.678,6.914
,32.565,66.272,70.424,351.727,8.116
,23.45,53.852,70.352,357.588,3.987
,33.28,52.556,70.551,311.449,10.991
,20.842,48.2,92.502,51.437,12.948
,13.748,25.336,75.321,372.54,15.716
,8.996,37.524,68.668,384.644,7.223
,24.28,48.29,73.273,388.521,8.252
,13.622,27.826,86.155,52.753,15.499
,9.482,19.654,80.122,247.671,11.555
,10.652,25.11,93.554,222.673,5.546
,23.796,33.861,92.794,133.564,9.262
,12.56,33.733,74.514,443.467,8.134
,21.681,59.99,67.574,444.309,8.552
,10.904,35.402,64.286,454.842,10.688
,28.063,59.882,71.369,387.607,6.988
,17.762,34.106,84.356,127.219,16.348
,10.904,35.272,68.459,480.199,9.139
,20.257,42.739,70.213,289.52,9.811
,28.42,37.418,96.806,143.001,8.019
,32.45,38.01,98.185,49.393,9.532
,22.624,35.044,86.529,323.699,13.525
,16.34,53.132,62.743,491.328,5.386
,31.739,66.866,62.692,419.852,9.598
,28.656,41.212,74.947,368.074,9.554
,23.805,35.996,81.538,168.659,8.082
,22.383,53.384,64.265,447.02,4.981
,24.161,60.242,71.213,459.817,6.858
,28.537,73.004,62.291,459.004,9.595
,36.232,66.398,70.131,351.415,10.677
,34.572,60.35,60.225,429.454,4.972
,31.147,60.602,64.368,256.313,12.123
,44.852,69.116,80.494,283.15,7.9
,36.351,59.774,73.692,157.297,9.5
,37.06,76.928,76.83,197.737,11.014
,30.553,44.517,70.658,273.962,15.234
,26.404,41.67,68.677,378.313,8.345
,29.368,37.062,93.859,291.295,6.5
,30.079,34.347,94.16,155.698,9.897
,27.707,37.418,71.244,267.292,7.437
,24.517,44.996,74.436,294.006,7.869
,30.553,40.132,88.795,186.038,6.622
,30.198,46.994,75.628,287.683,4.328
,32.686,43.452,90.415,119.189,6.761
,31.977,61.898,55.344,601.088,8.89
,28.301,72.302,53.09,425.845,8.091
,43.925,70.646,57.001,487.594,13.996
,25.702,52.322,42.767,597.567,16.557
,25.347,73.49,30.542,626.915,8.731
,47.12,65.57,41.65,601.074,10.044
0.22,43.687,56.246,68.945,92.15,10.034
0,45.932,56.93,92.137,199.3,8.655
0,51.494,88.16,70.4,500.034,12.382
0,41.436,75.146,68.554,411.959,13.368
0,35.402,66.398,50.349,653.307,10.047
0,30.909,75.614,39.953,625.188,6.707
0,45.104,75.614,48.469,347.118,11.87
0.66,44.996,62.258,79.297,174.154,16.611
1.21,32.913,49.964,94.399,84.746,17.268
0,32.567,62.258,71.894,634.401,13.013
0.02,30.317,55.994,77.714,359.28,9.577
0,38.597,52.682,85.278,250.4,11.652
0.47,35.64,43.333,92.234,99.245,12.933
0,33.031,53.492,74.648,635.6,7.743
0,37.544,51.134,74.138,110.864,11.186
0,43.925,69.242,67.207,396.04,8.844
0,34.455,53.15,66.913,349.471,10.245
0,28.537,57.524,70.698,429.278,4.225
0.59,44.87,50.306,87.281,69.904,9.423
0.03,44.996,55.508,86.689,258.52,10.569
0,37.888,62.492,65.752,498.765,13.153
0,41.673,69.944,53.092,651.819,9.712
0.04,42.984,79.88,48.526,548.842,16.953
0,44.762,67.928,49.761,659.434,12.676
0,35.996,63.086,35.303,708.487,9.73
0,30.198,58.352,39.653,711.722,8.753
0,30.79,62.006,41.386,730.519,4.76
0.01,53.258,74.552,39.713,558.002,15.083
0.02,,66.992,54.136,488.671,6.882
0,33.755,81.41,40.145,569.027,9.746
0,49.478,80.924,30.143,633.114,7.68
0,57.398,86.846,49.637,603.22,15.471
0,66.506,96.782,46.279,624.945,13.334
0,68.522,96.656,43.31,626.296,9.713
0.43,62.006,82.346,81.679,251.028,8.603
2.04,,73.364,84.393,419.418,9.976
0.01,,,86.919,148.457,17.696
0,,,77.001,241.054,12.861
0,43.095,62.132,74.838,348.676,10.258
0,40.737,66.164,54.555,707.205,5.716
0,39.434,69.458,47.69,693.701,7.92
0,45.59,69.71,51.431,432.429,7.878
0.69,54.806,71.24,72.999,325.948,14.204
0.8,57.884,66.758,93.329,101.008,10.124
0,59.18,76.442,80.897,524.676,8.091
0,56.462,77.972,67.588,564.667,9.811
0,53.618,79.736,64.884,683.856,5.815
0.84,57.65,71.6,83.385,268.425,8.117
0.56,51.62,62.852,91.424,112.396,14.9
0,45.698,66.272,61.109,695.185,7.204
0,49.964,59.666,83.898,104.352,7.595
0.06,54.806,75.74,70.734,378.163,7.115
0.45,56.336,76.46,87.097,227.053,8.48
0.34,62.006,88.502,68.153,527.068,18.917
0.08,56.336,79.736,57.571,693.856,8.718
0,54.698,85.19,65.515,540.85,9.746
0,65.336,86.378,71.594,516.855,12.044
0,69.944,91.238,53.847,508.49,12.16
0,65.444,86.846,54.651,445.46,6.984
0,65.21,97.628,55.574,632.142,7.136
0,69.35,101.156,42.111,624.748,8.525
0,76.334,98.672,45.269,610.232,15.951
0,64.742,83.408,52.486,595.642,12.158
0.53,56.102,67.334,77.952,163.499,12.186
0,55.868,64.616,91.857,115.893,6.635
0,50.792,74.66,72.02,665.956,6.471
0,61.196,76.082,71.65,543.527,10.54
0,60.836,70.178,79.773,204.544,12.154
0.17,62.492,78.44,82.763,285.89,7.528
0,58.352,84.002,55.202,699.033,9.083
0.2,58.712,85.55,66.143,475.614,7.443
0.59,64.976,88.502,72.969,540.917,6.081
0.63,59.648,78.8,80.859,504.075,7.173
0.39,64.85,85.19,77.398,585.36,6.971
0.65,61.142,85.316,78.537,419.189,12.109
0.06,61.304,73.49,85.523,289.15,11.461
0,58.244,71.114,73.803,209.358,13.674
0,54.698,76.316,76.103,563.033,7.907
0,52.322,77.144,73.916,555.577,6.385
1.4,60.368,78.908,83.167,486.022,6.466
0.43,63.428,77.288,94.459,107.352,8.031
0,58.82,77.486,71.436,654.975,8.393
0,52.322,79.034,67.859,685.207,4.94
0,61.916,88.628,77.375,632.148,9.357
0,73.598,96.656,62.356,637.026,9.764
0,70.178,97.844,58.201,633.784,8.303
0,63.914,84.362,70.193,557.965,6.207
0.54,66.632,80.69,84.356,401.987,5.742
0,62.366,83.174,83.042,624.451,5.479
0.19,65.444,86.144,88.244,303.561,4.489
0,65.57,86.018,78.99,589.483,4.104
0.12,67.928,85.55,78.166,574.638,3.22
0,63.32,86.846,74.975,663.59,4.897
0,69.008,89.096,77.974,596.712,7.595
0,71.474,91.688,83.236,585.1,4.271
0.09,69.116,89.222,77.628,530.804,4.013
0.16,67.46,76.91,83.246,300.893,10.161
0.01,67.1,81.986,83.51,390.526,8.092
0,70.772,87.206,83.707,472.528,8.648
0,73.958,91.58,83.431,470.982,7.233
0.03,76.442,94.766,79.306,507.132,7.287
0,74.318,96.89,72.58,613.61,6.44
0,72.554,98.078,71.211,619.713,5.218
0,72.428,97.016,65.698,631.066,6.248
0,72.428,98.312,62.162,622.236,6.795
0.46,68.882,87.8,80.136,389.68,6.95
0,73.256,91.472,74.112,478.989,5.113
0,71.834,91.94,79.402,255.272,3.568
0,72.32,89.33,80.848,529.682,6.251
0,67.1,90.752,74.568,613.857,3.857
0,68.18,93.47,74.63,588.133,5.722
0.3,70.664,92.75,76.85,555.936,6.065
0.9,69.818,87.908,88.941,270.897,4.638
0.09,71.132,81.878,91.728,179.245,2.993
0,70.43,88.988,83.355,518.673,4.004
0,71.474,91.58,83.598,568.942,5.297
0,74.084,97.844,74.508,581.799,6.628
0,72.428,89.582,76.15,457.71,6.543
0,67.334,86.378,73.838,572.27,4.861
0.17,70.07,86.144,82.589,375.054,3.672
0.06,71.006,83.3,91.25,214.423,3.618
0.3,65.678,89.582,82.678,520.536,5.232
,,,,,
,63.428,85.316,,581.369,
0,61.664,81.41,75.234,488.841,4.558
0,59.774,78.566,73.014,541.664,3.172
0.61,55.4,83.174,73.961,573.283,5.85
0.83,62.258,82.238,81.535,450.637,6.447
0,60.494,79.736,76.947,572.578,6.73
0,56.354,81.284,79.21,561.365,3.658
0.13,64.382,77.864,87.522,326.22,7.508
0.02,64.976,75.506,88.716,126.672,7.202
0,65.084,85.19,78.887,553.324,4.346
0.71,63.914,87.44,82.626,433.688,8.606
0.04,59.774,82.94,84.419,451.354,5.427
0,62.384,78.206,85.226,345.859,4.089
0,59.666,83.174,84.872,404.744,3.2
0,66.038,86.612,77.75,513.959,8.064
0,67.226,90.41,83.297,463.353,4.93
0,60.242,85.316,72.99,542.176,6.496
0,52.916,81.644,72.341,537.132,3.802
0,61.556,81.752,82.615,250.796,4.151
0,61.43,83.408,74.599,495.772,4.53
0,59.18,77.738,81.734,333.172,4.689
0.01,56.93,80.69,78.46,458.276,4.339
0.58,65.084,81.284,87.762,328.707,4.846
0,63.554,89.096,85.122,504.88,4.242
0,70.538,93.47,67.761,494.524,5.579
0.27,67.46,86.738,76.791,390.18,6.039
0.2,56.102,75.146,84.834,214.845,7.174
0,49.604,71.708,68.76,500.541,6.852
0,43.452,71.114,72.783,534.234,2.922
0,44.636,72.536,72.97,497.656,3.78
0,46.292,76.082,74.457,499.305,2.644
0,46.526,74.426,74.074,499.725,5.128
0,55.058,80.924,71.283,418.971,7.054
0,53.15,79.988,71.627,481.384,3.595
0,51.494,85.082,70.218,477.483,3.499
0,53.042,91.832,63.357,442.92,6.206
0,54.572,69.71,69.685,292.752,5.999
0.11,38.84,60.134,64.613,387.613,7.893
0.05,35.528,54.914,69.835,232.008,4.402
0.1,45.104,53.15,90.299,84.571,6.428
0,50.432,55.166,96.905,40.961,8.294
0.04,48.65,70.88,93.348,166.917,3.595
0,42.739,81.752,59.716,457.392,4.021
0,47.948,73.724,56.121,426.882,7.176
0,41.085,69.35,63.103,427.434,7.932
0,35.053,67.91,70.399,411.23,3.857
0,33.755,68.756,60.937,443.567,2.791
0,38.723,69.818,63.764,436.12,4.358
0,36.469,66.632,67.519,415.514,3.246
0,36.351,73.256,60.732,427.481,6.147
0,47.714,79.736,60.103,400.751,5.98
0,41.436,87.44,54.619,413.948,2.59
